,Player ID,Player,Total Runs Scored,Batting Avg,Batting Strike Rate,Total Centuries,Total Half Centuries,4s,6s,Total Wickets Taken,Best Bowling Figures,Bowling Avg,Best Economy Rate,Bowling Strike Rate,Total Matches Played,Total Dismissals Made,Total Catches Taken,Total Stumpings Made,Batting Hand,Bowling Arm,Bowling Style
104,104,Joginder Sharma,35,35.00,116.66,0,0,5,0,1,1/28,115.00,4.6,150.0,4.0,3.0,3.0,0.0,Right Hand,Right Arm,Pace Bowler
105,105,Arshdeep Singh,34,17.00,121.42,0,0,1,3,10,5/37,18.40,4.58,24.1,6.0,0.0,0.0,0.0,Left Hand,Left Arm,Pace Bowler
106,106,MM Sharma,31,7.75,46.96,0,0,5,0,31,4/22,32.9,5.45,36.1,26.0,6.0,6.0,0.0,Right Hand,Right Arm,Pace Bowler
107,107,DS Kulkarni,27,-,96.42,0,0,2,1,19,4/34,26.73,5.09,31.4,12.0,2.0,2.0,0.0,Right Hand,Right Arm,Pace Bowler
108,108,VR Iyer,24,12.00,60.00,0,0,0,1,0,-,-,5.60,-,2.0,0.0,0.0,0.0,Left Hand,Right Arm,Pace Bowler
109,109,Avesh Khan,23,7.66,79.31,0,0,2,1,9,4/27,36.55,5.54,39.5,8.0,3.0,3.0,0.0,Right Hand,Right Arm,Pace Bowler
110,110,N Chopra,23,7.66,44.23,0,0,1,0,3,1/36,47.33,5.07,56.0,4.0,0.0,0.0,0.0,Right Hand,Right Arm,Spin Bowler
111,111,RM Patidar,22,22.00,137.50,0,0,3,1,-,-,-,-,-,1.0,0.0,0.0,0.0,Right Hand,Right Arm,Spin Bowler
112,112,AB Dinda,21,4.20,58.33,0,0,1,0,12,2/44,51.0,6.18,49.5,13.0,1.0,1.0,0.0,Right Hand,Right Arm,Pace Bowler
113,113,DJ Gandhi,19,9.50,63.33,0,0,3,0,-,-,-,-,-,2.0,0.0,0.0,0.0,Right Hand,Right Arm,Pace Bowler
114,114,DS Mohanty,19,9.50,54.28,0,0,1,0,8,3/18,35.50,5.07,42.0,7.0,1.0,1.0,0.0,Right Hand,Right Arm,Pace Bowler
115,115,RD Chahar,13,13.00,52.00,0,0,0,0,3,3/54,18.00,5.4,20.0,1.0,0.0,0.0,0.0,Right Hand,Right Arm,Spin Bowler
116,116,Gurkeerat Singh,13,6.50,100.00,0,0,2,0,0,-,-,6.80,-,3.0,1.0,1.0,0.0,Right Hand,Right Arm,Spin Bowler
117,117,R Dhawan,12,12.00,92.30,0,0,1,0,1,1/74,160.00,6.4,150.0,3.0,0.0,0.0,0.0,Right Hand,Right Arm,Pace Bowler
118,118,AR Khurasiya,12,6.00,48.00,0,0,2,0,-,-,-,-,-,2.0,2.0,2.0,0.0,Left Hand,Left Arm,Spin Bowler
119,119,SV Bahutule,11,11.00,84.61,0,0,1,0,0,-,-,8.00,-,1.0,0.0,0.0,0.0,Left Hand,Right Arm,Spin Bowler
